1693320924.330		39727	17536	2503	2497	17191	15260	74	138	0	200
1693320924.521		15568	11946	137	2250	1235	13996	74	138	0	200
1693320924.715		43465	39005	152	4044	264	42626	74	138	0	200
1693320924.907		17201	14534	73	2309	285	16625	74	138	0	200
1693320925.096		38026	33110	190	4377	349	36932	74	138	0	200
1693320925.284		16173	14010	45	1974	144	15503	74	138	0	200
1693320925.466		8382	5964	84	2181	153	7841	74	138	0	200
1693320925.648		13958	11577	42	2156	183	13447	74	138	0	200
1693320925.827		20682	17850	56	2483	293	19908	74	138	0	200
1693320926.004		12599	10797	46	1616	140	12239	74	138	0	200
1693320926.178		30954	23536	103	7048	267	30229	74	138	0	200
1693320926.349		19205	16641	121	2303	140	18620	74	138	0	200
1693320926.520		13443	11414	75	1814	140	13080	74	138	0	200
1693320926.687		13136	11302	41	1670	123	12798	74	138	0	200
1693320926.853		15528	12724	114	2402	288	14942	74	138	0	200
1693320927.018		20668	18580	92	1877	119	20079	74	138	0	200
1693320927.181		23799	21617	45	1928	209	23334	74	138	0	200
1693320927.341		6841	5225	82	1402	132	6487	74	138	0	200
1693320927.500		17068	11363	142	5314	249	16331	74	138	0	200
1693320927.658		7529	5235	58	2091	145	7159	74	138	0	200
1693320927.812		8401	6347	55	1850	149	8020	74	138	0	200
1693320927.968		47203	40128	214	6472	389	46090	74	138	0	200
1693320928.120		13582	11530	75	1839	138	13212	74	138	0	200
1693320928.271		14287	11928	46	2173	140	13884	74	138	0	200
1693320928.421		19927	16616	110	3004	197	19345	74	138	0	200
1693320928.569		16223	14030	55	1987	151	15585	74	138	0	200
1693320928.716		14200	12141	55	1874	130	13831	74	138	0	200
1693320928.861		38730	33700	102	4596	332	37931	74	138	0	200
1693320929.006		43151	38279	110	4364	398	42286	74	138	0	200
1693320929.150		13940	11527	84	2176	153	13530	74	138	0	200
1693320929.292		13619	11759	40	1694	126	13253	74	138	0	200
1693320929.433		14450	12372	67	1880	131	14098	74	138	0	200
1693320929.572		15201	13117	43	1907	134	14860	74	138	0	200
1693320929.710		39344	34328	88	4583	345	38538	74	138	0	200
1693320929.849		12834	10853	43	1822	116	12492	74	138	0	200
1693320929.984		19165	15473	243	3178	271	18416	74	138	0	200
1693320930.120		14152	12043	42	1919	148	13812	74	138	0	200
1693320930.254		21106	18176	89	2658	183	20679	74	138	0	200
1693320930.388		13376	11369	45	1822	140	13044	74	138	0	200
1693320930.519		38371	34658	118	3333	262	37597	74	138	0	200
1693320930.652		18742	16361	67	2157	157	18170	74	138	0	200
1693320930.782		34132	29280	112	4381	359	33309	74	138	0	200
1693320930.912		17292	14731	63	2318	180	16727	74	138	0	200
1693320931.040		25271	17341	106	7457	367	24569	74	138	0	200
1693320931.167		13347	11446	85	1685	131	12861	74	138	0	200
1693320931.295		14903	12323	55	2355	170	14492	74	138	0	200
1693320931.421		24054	20570	142	3105	237	23358	74	138	0	200
1693320931.545		13859	11864	71	1774	150	13411	74	138	0	200
1693320931.671		17419	15161	106	1988	164	16869	74	138	0	200
1693320931.795		29244	24868	84	3977	315	28567	74	138	0	200
1693320931.917		21930	18131	112	3463	224	21334	74	138	0	200
1693320932.039		38744	32692	120	5776	156	38102	74	138	0	200
1693320932.161		14019	11804	71	1994	150	13570	74	138	0	200
1693320932.281		22543	17865	100	4376	202	21887	74	138	0	200
1693320932.400		19946	16873	95	2724	254	19324	74	138	0	200
1693320932.520		41038	34619	190	5876	353	40115	74	138	0	200
1693320932.639		14118	12272	38	1657	151	13810	74	138	0	200
1693320932.756		15470	12691	52	2574	153	15139	74	138	0	200
1693320932.873		13377	11090	76	2102	109	13021	74	138	0	200
1693320932.990		38568	33689	220	4255	404	37587	74	138	0	200
1693320933.106		13099	10967	49	1910	173	12660	74	138	0	200
1693320933.221		13537	11524	48	1850	115	13240	74	138	0	200
1693320933.336		15903	13869	54	1839	141	15558	74	138	0	200
1693320933.450		18264	15514	61	2531	158	17799	74	138	0	200
1693320933.563		41850	38250	116	3235	249	41186	74	138	0	200
1693320933.675		12956	11147	41	1644	124	12642	74	138	0	200
1693320933.788		14079	12128	83	1740	128	13718	74	138	0	200
1693320933.898		13950	11501	148	2152	149	13510	74	138	0	200
1693320934.010		20382	16614	74	3455	239	19807	74	138	0	200
1693320934.121		13732	11843	89	1658	142	13330	74	138	0	200
